Ente,Candidato,Voti totali,Liste/Gruppi,
SARRE,VIERIN LAURENT,625,UNION VALDOTAINE PROGRESSISTE,
SARRE,COGNETTA ROBERTO UGO MASSIMO,570,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SARRE,MELONI GIORGIA,162,FRATELLI D'ITALIA,
SARRE,SPELGATTI NICOLETTA,105,LEGA NORD,
SARRE,BRINGHEN LUCA,47,UNIONE DI CENTRO,
SARRE,LADU ANDREA,38,CASAPOUND ITALIA,
SARRE,BUILLET FABRIZIO,27,FARE PER FERMARE IL DECLINO,
SARRE,CAMPION EROS,4,NATION VAL D'OUTA,
TORGNON,GUICHARDAZ JEAN PIERRE,109,AUTONOMIE LIBERTE' DEMOCRATIE,
TORGNON,MARGUERETTAZ RUDI FRANCO,98,VALLEE D'AOSTE,
TORGNON,VIERIN LAURENT,67,UNION VALDOTAINE PROGRESSISTE,
TORGNON,COGNETTA ROBERTO UGO MASSIMO,43,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
TORGNON,MELONI GIORGIA,15,FRATELLI D'ITALIA,
TORGNON,SPELGATTI NICOLETTA,8,LEGA NORD,
TORGNON,BRINGHEN LUCA,4,UNIONE DI CENTRO,
TORGNON,CAMPION EROS,2,NATION VAL D'OUTA,
TORGNON,LADU ANDREA,0,CASAPOUND ITALIA,
TORGNON,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
VALGRISENCHE,VIERIN LAURENT,66,UNION VALDOTAINE PROGRESSISTE,
VALGRISENCHE,MARGUERETTAZ RUDI FRANCO,42,VALLEE D'AOSTE,
VALGRISENCHE,GUICHARDAZ JEAN PIERRE,23,AUTONOMIE LIBERTE' DEMOCRATIE,
VALGRISENCHE,COGNETTA ROBERTO UGO MASSIMO,9,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VALGRISENCHE,BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
VALGRISENCHE,SPELGATTI NICOLETTA,2,LEGA NORD,
VALGRISENCHE,BRINGHEN LUCA,1,UNIONE DI CENTRO,
VALGRISENCHE,LADU ANDREA,0,CASAPOUND ITALIA,
VALGRISENCHE,MELONI GIORGIA,0,FRATELLI D'ITALIA,
VALGRISENCHE,CAMPION EROS,0,NATION VAL D'OUTA,
VALPELLINE,VIERIN LAURENT,112,UNION VALDOTAINE PROGRESSISTE,
VALPELLINE,MARGUERETTAZ RUDI FRANCO,93,VALLEE D'AOSTE,
VALPELLINE,COGNETTA ROBERTO UGO MASSIMO,80,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VALPELLINE,GUICHARDAZ JEAN PIERRE,80,AUTONOMIE LIBERTE' DEMOCRATIE,
VALPELLINE,MELONI GIORGIA,7,FRATELLI D'ITALIA,
VALPELLINE,BUILLET FABRIZIO,6,FARE PER FERMARE IL DECLINO,
VALPELLINE,BRINGHEN LUCA,2,UNIONE DI CENTRO,
VALPELLINE,SPELGATTI NICOLETTA,2,LEGA NORD,
VALPELLINE,CAMPION EROS,2,NATION VAL D'OUTA,
VALPELLINE,LADU ANDREA,1,CASAPOUND ITALIA,
VALSAVARENCHE,VIERIN LAURENT,64,UNION VALDOTAINE PROGRESSISTE,
VALSAVARENCHE,MARGUERETTAZ RUDI FRANCO,25,VALLEE D'AOSTE,
VALSAVARENCHE,COGNETTA ROBERTO UGO MASSIMO,12,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VALSAVARENCHE,GUICHARDAZ JEAN PIERRE,12,AUTONOMIE LIBERTE' DEMOCRATIE,
VALSAVARENCHE,SPELGATTI NICOLETTA,3,LEGA NORD,
VALSAVARENCHE,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
VALSAVARENCHE,LADU ANDREA,0,CASAPOUND ITALIA,
VALSAVARENCHE,BRINGHEN LUCA,0,UNIONE DI CENTRO,
VALSAVARENCHE,MELONI GIORGIA,0,FRATELLI D'ITALIA,
VALSAVARENCHE,CAMPION EROS,0,NATION VAL D'OUTA,
VALTOURNENCHE,VIERIN LAURENT,370,UNION VALDOTAINE PROGRESSISTE,
VALTOURNENCHE,MARGUERETTAZ RUDI FRANCO,312,VALLEE D'AOSTE,
VALTOURNENCHE,COGNETTA ROBERTO UGO MASSIMO,198,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VALTOURNENCHE,GUICHARDAZ JEAN PIERRE,164,AUTONOMIE LIBERTE' DEMOCRATIE,
VALTOURNENCHE,MELONI GIORGIA,56,FRATELLI D'ITALIA,
VALTOURNENCHE,SPELGATTI NICOLETTA,51,LEGA NORD,
VALTOURNENCHE,BUILLET FABRIZIO,20,FARE PER FERMARE IL DECLINO,
VALTOURNENCHE,BRINGHEN LUCA,18,UNIONE DI CENTRO,
VALTOURNENCHE,LADU ANDREA,15,CASAPOUND ITALIA,
VALTOURNENCHE,CAMPION EROS,1,NATION VAL D'OUTA,
VERRAYES,MARGUERETTAZ RUDI FRANCO,227,VALLEE D'AOSTE,
VERRAYES,VIERIN LAURENT,214,UNION VALDOTAINE PROGRESSISTE,
VERRAYES,GUICHARDAZ JEAN PIERRE,142,AUTONOMIE LIBERTE' DEMOCRATIE,
VERRAYES,COGNETTA ROBERTO UGO MASSIMO,113,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VERRAYES,SPELGATTI NICOLETTA,18,LEGA NORD,
VERRAYES,MELONI GIORGIA,14,FRATELLI D'ITALIA,
VERRAYES,BRINGHEN LUCA,11,UNIONE DI CENTRO,
VERRAYES,BUILLET FABRIZIO,4,FARE PER FERMARE IL DECLINO,
VERRAYES,CAMPION EROS,2,NATION VAL D'OUTA,
VERRAYES,LADU ANDREA,1,CASAPOUND ITALIA,
VERRES,MARGUERETTAZ RUDI FRANCO,477,VALLEE D'AOSTE,
VERRES,VIERIN LAURENT,283,UNION VALDOTAINE PROGRESSISTE,
VERRES,COGNETTA ROBERTO UGO MASSIMO,281,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VERRES,GUICHARDAZ JEAN PIERRE,245,AUTONOMIE LIBERTE' DEMOCRATIE,
VERRES,MELONI GIORGIA,55,FRATELLI D'ITALIA,
VERRES,SPELGATTI NICOLETTA,36,LEGA NORD,
VERRES,BRINGHEN LUCA,24,UNIONE DI CENTRO,
VERRES,BUILLET FABRIZIO,13,FARE PER FERMARE IL DECLINO,
VERRES,LADU ANDREA,7,CASAPOUND ITALIA,
VERRES,CAMPION EROS,5,NATION VAL D'OUTA,
VILLENEUVE,VIERIN LAURENT,244,UNION VALDOTAINE PROGRESSISTE,
VILLENEUVE,MARGUERETTAZ RUDI FRANCO,154,VALLEE D'AOSTE,
VILLENEUVE,GUICHARDAZ JEAN PIERRE,127,AUTONOMIE LIBERTE' DEMOCRATIE,
VILLENEUVE,COGNETTA ROBERTO UGO MASSIMO,123,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
VILLENEUVE,BRINGHEN LUCA,15,UNIONE DI CENTRO,
VILLENEUVE,MELONI GIORGIA,14,FRATELLI D'ITALIA,
VILLENEUVE,BUILLET FABRIZIO,13,FARE PER FERMARE IL DECLINO,
VILLENEUVE,SPELGATTI NICOLETTA,8,LEGA NORD,
VILLENEUVE,CAMPION EROS,1,NATION VAL D'OUTA,
VILLENEUVE,LADU ANDREA,0,CASAPOUND ITALIA,
