Ente,Liste/Gruppi,Voti,,
PERGINE VALSUGANA,FARE PER FERMARE IL DECLINO,286,,
PERGINE VALSUGANA,MIR - MODERATI IN RIVOLUZIONE,103,,
PIEVE TESINO,SVP - PATT - PD - UPT,166,,
PIEVE TESINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,141,,
PIEVE TESINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,64,,
PIEVE TESINO,MIR - MODERATI IN RIVOLUZIONE,11,,
PIEVE TESINO,FARE PER FERMARE IL DECLINO,7,,
PIEVE TESINO,RIVOLUZIONE CIVILE,7,,
POZZA DI FASSA,IL POPOLO DELLA LIBERTA' - LEGA NORD,429,,
POZZA DI FASSA,SVP - PATT - PD - UPT,359,,
POZZA DI FASSA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,181,,
POZZA DI FASSA,RIVOLUZIONE CIVILE,22,,
POZZA DI FASSA,FARE PER FERMARE IL DECLINO,14,,
POZZA DI FASSA,MIR - MODERATI IN RIVOLUZIONE,3,,
PREDAZZO,SVP - PATT - PD - UPT,893,,
PREDAZZO,IL POPOLO DELLA LIBERTA' - LEGA NORD,592,,
PREDAZZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,513,,
PREDAZZO,RIVOLUZIONE CIVILE,80,,
PREDAZZO,FARE PER FERMARE IL DECLINO,46,,
PREDAZZO,MIR - MODERATI IN RIVOLUZIONE,26,,
RONCEGNO TERME,SVP - PATT - PD - UPT,615,,
RONCEGNO TERME,IL POPOLO DELLA LIBERTA' - LEGA NORD,404,,
RONCEGNO TERME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,321,,
RONCEGNO TERME,MIR - MODERATI IN RIVOLUZIONE,71,,
RONCEGNO TERME,RIVOLUZIONE CIVILE,22,,
RONCEGNO TERME,FARE PER FERMARE IL DECLINO,21,,
RONCHI VALSUGANA,SVP - PATT - PD - UPT,120,,
RONCHI VALSUGANA,IL POPOLO DELLA LIBERTA' - LEGA NORD,58,,
RONCHI VALSUGANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,38,,
RONCHI VALSUGANA,RIVOLUZIONE CIVILE,4,,
RONCHI VALSUGANA,MIR - MODERATI IN RIVOLUZIONE,1,,
RONCHI VALSUGANA,FARE PER FERMARE IL DECLINO,1,,
SAGRON MIS,SVP - PATT - PD - UPT,77,,
SAGRON MIS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24,,
SAGRON MIS,IL POPOLO DELLA LIBERTA' - LEGA NORD,7,,
SAGRON MIS,RIVOLUZIONE CIVILE,2,,
SAGRON MIS,MIR - MODERATI IN RIVOLUZIONE,1,,
SAGRON MIS,FARE PER FERMARE IL DECLINO,0,,
SAMONE,SVP - PATT - PD - UPT,173,,
SAMONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,71,,
SAMONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,48,,
SAMONE,MIR - MODERATI IN RIVOLUZIONE,6,,
SAMONE,FARE PER FERMARE IL DECLINO,6,,
SAMONE,RIVOLUZIONE CIVILE,4,,
SANT'ORSOLA TERME,SVP - PATT - PD - UPT,256,,
SANT'ORSOLA TERME,IL POPOLO DELLA LIBERTA' - LEGA NORD,151,,
SANT'ORSOLA TERME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,126,,
SANT'ORSOLA TERME,FARE PER FERMARE IL DECLINO,13,,
SANT'ORSOLA TERME,RIVOLUZIONE CIVILE,12,,
SANT'ORSOLA TERME,MIR - MODERATI IN RIVOLUZIONE,6,,
SCURELLE,SVP - PATT - PD - UPT,342,,
SCURELLE,IL POPOLO DELLA LIBERTA' - LEGA NORD,231,,
SCURELLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,115,,
SCURELLE,MIR - MODERATI IN RIVOLUZIONE,26,,
SCURELLE,RIVOLUZIONE CIVILE,22,,
SCURELLE,FARE PER FERMARE IL DECLINO,12,,
SIROR,SVP - PATT - PD - UPT,285,,
SIROR,IL POPOLO DELLA LIBERTA' - LEGA NORD,202,,
SIROR,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,134,,
SIROR,RIVOLUZIONE CIVILE,17,,
SIROR,FARE PER FERMARE IL DECLINO,16,,
SIROR,MIR - MODERATI IN RIVOLUZIONE,7,,
SORAGA,IL POPOLO DELLA LIBERTA' - LEGA NORD,148,,
SORAGA,SVP - PATT - PD - UPT,114,,
SORAGA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,56,,
SORAGA,RIVOLUZIONE CIVILE,11,,
SORAGA,MIR - MODERATI IN RIVOLUZIONE,5,,
SORAGA,FARE PER FERMARE IL DECLINO,4,,
SPERA,SVP - PATT - PD - UPT,183,,
SPERA,IL POPOLO DELLA LIBERTA' - LEGA NORD,73,,
SPERA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,51,,
SPERA,RIVOLUZIONE CIVILE,11,,
SPERA,MIR - MODERATI IN RIVOLUZIONE,7,,
SPERA,FARE PER FERMARE IL DECLINO,3,,
STRIGNO,SVP - PATT - PD - UPT,340,,
STRIGNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,223,,
STRIGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,133,,
STRIGNO,FARE PER FERMARE IL DECLINO,16,,
STRIGNO,MIR - MODERATI IN RIVOLUZIONE,11,,
STRIGNO,RIVOLUZIONE CIVILE,10,,
TELVE,SVP - PATT - PD - UPT,552,,
TELVE,IL POPOLO DELLA LIBERTA' - LEGA NORD,251,,
TELVE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,161,,
TELVE,MIR - MODERATI IN RIVOLUZIONE,76,,
TELVE,RIVOLUZIONE CIVILE,24,,
TELVE,FARE PER FERMARE IL DECLINO,22,,
TELVE DI SOPRA,SVP - PATT - PD - UPT,150,,
TELVE DI SOPRA,IL POPOLO DELLA LIBERTA' - LEGA NORD,95,,
TELVE DI SOPRA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,56,,
TELVE DI SOPRA,RIVOLUZIONE CIVILE,11,,
TELVE DI SOPRA,MIR - MODERATI IN RIVOLUZIONE,9,,
TELVE DI SOPRA,FARE PER FERMARE IL DECLINO,5,,
TENNA,SVP - PATT - PD - UPT,221,,
TENNA,IL POPOLO DELLA LIBERTA' - LEGA NORD,161,,
TENNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,130,,
TENNA,FARE PER FERMARE IL DECLINO,16,,
TENNA,RIVOLUZIONE CIVILE,14,,
TENNA,MIR - MODERATI IN RIVOLUZIONE,3,,
TESERO,SVP - PATT - PD - UPT,488,,
TESERO,IL POPOLO DELLA LIBERTA' - LEGA NORD,441,,
TESERO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,240,,
TESERO,RIVOLUZIONE CIVILE,44,,
TESERO,FARE PER FERMARE IL DECLINO,41,,
TESERO,MIR - MODERATI IN RIVOLUZIONE,11,,
TONADICO,SVP - PATT - PD - UPT,311,,
TONADICO,IL POPOLO DELLA LIBERTA' - LEGA NORD,231,,
TONADICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,146,,
TONADICO,FARE PER FERMARE IL DECLINO,20,,
TONADICO,RIVOLUZIONE CIVILE,19,,
TONADICO,MIR - MODERATI IN RIVOLUZIONE,13,,
TORCEGNO,SVP - PATT - PD - UPT,184,,
TORCEGNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,80,,
TORCEGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,79,,
TORCEGNO,MIR - MODERATI IN RIVOLUZIONE,12,,
TORCEGNO,FARE PER FERMARE IL DECLINO,7,,
TORCEGNO,RIVOLUZIONE CIVILE,3,,
TRANSACQUA,SVP - PATT - PD - UPT,492,,
TRANSACQUA,IL POPOLO DELLA LIBERTA' - LEGA NORD,297,,
TRANSACQUA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,257,,
TRANSACQUA,RIVOLUZIONE CIVILE,27,,
TRANSACQUA,FARE PER FERMARE IL DECLINO,19,,
TRANSACQUA,MIR - MODERATI IN RIVOLUZIONE,13,,
VALFLORIANA,SVP - PATT - PD - UPT,124,,
VALFLORIANA,IL POPOLO DELLA LIBERTA' - LEGA NORD,58,,
