Ente,Liste/Gruppi,Voti,,
RIO DI PUSTERIA,PARTITO DEMOCRATICO,33,,
RIO DI PUSTERIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,21,,
RIO DI PUSTERIA,RIVOLUZIONE CIVILE,2,,
RIO DI PUSTERIA,L'ALTO ADIGE NEL CUORE,1,,
RIO DI PUSTERIA,LA DESTRA,0,,
RODENGO,SVP,432,,
RODENGO,DIE FREIHEITLICHEN,199,,
RODENGO,VERDI - GRUNE - VERC,16,,
RODENGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,11,,
RODENGO,PARTITO DEMOCRATICO,6,,
RODENGO,SCELTA CIVICA CON MONTI PER L'ITALIA,4,,
RODENGO,L'ALTO ADIGE NEL CUORE,1,,
RODENGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1,,
RODENGO,LA DESTRA,0,,
RODENGO,RIVOLUZIONE CIVILE,0,,
SAN CANDIDO,SVP,940,,
SAN CANDIDO,DIE FREIHEITLICHEN,281,,
SAN CANDIDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,118,,
SAN CANDIDO,SCELTA CIVICA CON MONTI PER L'ITALIA,108,,
SAN CANDIDO,PARTITO DEMOCRATICO,97,,
SAN CANDIDO,VERDI - GRUNE - VERC,97,,
SAN CANDIDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,74,,
SAN CANDIDO,LA DESTRA,7,,
SAN CANDIDO,RIVOLUZIONE CIVILE,6,,
SAN CANDIDO,L'ALTO ADIGE NEL CUORE,5,,
SAN LORENZO DI SEBATO,SVP,1252,,
SAN LORENZO DI SEBATO,DIE FREIHEITLICHEN,473,,
SAN LORENZO DI SEBATO,VERDI - GRUNE - VERC,132,,
SAN LORENZO DI SEBATO,PARTITO DEMOCRATICO,73,,
SAN LORENZO DI SEBATO,SCELTA CIVICA CON MONTI PER L'ITALIA,62,,
SAN LORENZO DI SEBATO,IL POPOLO DELLA LIBERTA' - LEGA NORD,34,,
SAN LORENZO DI SEBATO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,22,,
SAN LORENZO DI SEBATO,L'ALTO ADIGE NEL CUORE,5,,
SAN LORENZO DI SEBATO,RIVOLUZIONE CIVILE,2,,
SAN LORENZO DI SEBATO,LA DESTRA,0,,
SAN MARTINO IN BADIA,SVP,664,,
SAN MARTINO IN BADIA,DIE FREIHEITLICHEN,85,,
SAN MARTINO IN BADIA,VERDI - GRUNE - VERC,59,,
SAN MARTINO IN BADIA,PARTITO DEMOCRATICO,47,,
SAN MARTINO IN BADIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,39,,
SAN MARTINO IN BADIA,SCELTA CIVICA CON MONTI PER L'ITALIA,36,,
SAN MARTINO IN BADIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,26,,
SAN MARTINO IN BADIA,L'ALTO ADIGE NEL CUORE,3,,
SAN MARTINO IN BADIA,LA DESTRA,1,,
SAN MARTINO IN BADIA,RIVOLUZIONE CIVILE,1,,
SANTA CRISTINA VALGARDENA,SVP,614,,
SANTA CRISTINA VALGARDENA,DIE FREIHEITLICHEN,106,,
SANTA CRISTINA VALGARDENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,71,,
SANTA CRISTINA VALGARDENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,59,,
SANTA CRISTINA VALGARDENA,VERDI - GRUNE - VERC,53,,
SANTA CRISTINA VALGARDENA,PARTITO DEMOCRATICO,52,,
SANTA CRISTINA VALGARDENA,SCELTA CIVICA CON MONTI PER L'ITALIA,33,,
